"year","ST_PC1","ST_PC2","AT_PC1","AT_PC2","WS_PC1","WS_PC2","sample","calcite_thickness_mm","aragonite_thickness_mm","storage_condition","shell_height","aperture_width","aperture_height","country","location","PC1","PC2","PC3","PC4","PC5","aperture_ellipses"
1929,-2.31591512819413,1.28270186526964,-1.12918905577428,-1.25562856563157,-3.25103802754173,0.321072286440461,"8_4",0.917150833333333,0.387951066666667,"ethanol",30.73,12.07,17.63,"Belgium","ZEE",0.00194055549707488,0.00061757859553594,0.00109194545758845,-0.00023353073133998,0.00024726700917575,167.128095321813
1929,-2.31591512819413,1.28270186526964,-1.12918905577428,-1.25562856563157,-3.25103802754173,0.321072286440461,"8_5",0.739285793333333,0.0919914733333333,"ethanol",27.93,12.24,16.94,"Belgium","ZEE",-0.00042554851544859,-0.00046184909481648,0.00014764572717241,-0.00027460271071759,-0.0004320149081126,162.848853428542
1929,-2.31591512819413,1.28270186526964,-1.12918905577428,-1.25562856563157,-3.25103802754173,0.321072286440461,"9_1",0.516815533333333,0.114652833333333,"ethanol",26.33,9.6,14.67,"Belgium","ZEE",0.0032506282539515,-0.00122504484871027,-0.00017530692900499,2.67195061313663e-05,0.00026510922502024,110.609194147589
1929,-2.31591512819413,1.28270186526964,-1.12918905577428,-1.25562856563157,-3.25103802754173,0.321072286440461,"9_2",0.700353233333333,0.0767041,"ethanol",26.5,10.48,14.52,"Belgium","ZEE",-0.00025886210175134,0.00013782533567407,-4.31302876969499e-05,0.00039276765758891,-0.00011472172418245,119.513724364924
1932,-2.31690669126505,1.68986739800807,-0.876414375153672,-1.77184109016315,-3.53410215215431,0.312563498632206,"10_1",1.05737813333333,0.1439032,"ethanol",29.33,11.86,15.43,"Belgium","KNO",0.00191680759005585,-0.00036804122588396,0.00048053863339,-0.00043960324995986,0.00026487372503869,143.7277068221
1932,-2.31690669126505,1.68986739800807,-0.876414375153672,-1.77184109016315,-3.53410215215431,0.312563498632206,"10_2",0.7514908,0.1007208,"ethanol",29.36,11.5,16.56,"Belgium","KNO",0.0005627903531129,-0.00090447012813622,0.00049383586831879,6.72481672629344e-05,-0.00010831478721272,149.57122623741
1932,-2.31690669126505,1.68986739800807,-0.876414375153672,-1.77184109016315,-3.53410215215431,0.312563498632206,"10_3",0.860598766666667,0.0728522666666667,"ethanol",26.71,11.01,15.1,"Belgium","KNO",0.00191895738738261,-0.00015226302935499,0.00016129549622022,-0.00017433885979864,-4.74047532769967e-07,130.573230062989
1932,-2.31690669126505,1.68986739800807,-0.876414375153672,-1.77184109016315,-3.53410215215431,0.312563498632206,"10_4",0.523742566666667,0.129756333333333,"ethanol",22.32,7.78,13.5,"Belgium","KNO",-0.00641154645248784,-0.0008172590176967,-0.00085158597939225,0.00041054280859989,0.00110092460465738,82.490369101634
1932,-2.31690669126505,1.68986739800807,-0.876414375153672,-1.77184109016315,-3.53410215215431,0.312563498632206,"10_5",1.14315303333333,0.0562330333333333,"ethanol",31.84,12.43,18.93,"Belgium","KNO",-0.00415180031917817,-0.00028627882943553,0.00010748569430274,-0.00111796502104199,0.00036373992733587,184.804109307603
1932,-2.31690669126505,1.68986739800807,-0.876414375153672,-1.77184109016315,-3.53410215215431,0.312563498632206,"10_6",0.672489033333333,0.149023466666667,"ethanol",27.9,11.03,16.53,"Belgium","KNO",-0.00107364230178197,0.00011363545869121,0.00019690755887732,0.00074850027526881,-0.00010446781098895,143.198426999787
1932,-2.31690669126505,1.68986739800807,-0.876414375153672,-1.77184109016315,-3.53410215215431,0.312563498632206,"10_7",0.747826733333333,0.0975765666666667,"ethanol",27.77,10.93,14.72,"Belgium","KNO",-0.00055881511080537,-0.00059574268056257,-5.1598819373864e-05,0.00062125721998019,-0.00013163538144346,126.36239634975
1936,-1.67544551228066,1.43645349176558,0.181394868013665,-1.85157373987791,-2.8606122776442,0.80319347522285,"12_1",0.4416957,0.133776366666667,"ethanol",27.34,11.2,16.63,"Belgium","DUI",0.00025689837354801,0.00091230809077784,-0.00086408742390215,0.00039810220352344,-0.00046793863408003,146.285120321755
1936,-1.67544551228066,1.43645349176558,0.181394868013665,-1.85157373987791,-2.8606122776442,0.80319347522285,"12_10",1.15525126666667,0.0353267666666667,"ethanol",25.11,10.27,15.85,"Belgium","DUI",0.00043478382751246,0.00111514938702862,-0.00076544472112585,-0.00035866159862955,-0.00034329593016188,127.846720338755
1936,-1.67544551228066,1.43645349176558,0.181394868013665,-1.85157373987791,-2.8606122776442,0.80319347522285,"12_2",0.741244933333333,0.0527482666666667,"ethanol",24.84,10.57,14.9,"Belgium","DUI",-0.00213755030929151,2.19807391047117e-05,0.00059356610537929,-1.63080087190649e-05,7.98919295063027e-05,123.694712947954
1936,-1.67544551228066,1.43645349176558,0.181394868013665,-1.85157373987791,-2.8606122776442,0.80319347522285,"12_3",0.7958832,0.1468418,"ethanol",25.93,10.38,15.1,"Belgium","DUI",0.00142838240131772,0.0004238639375291,8.80219098818599e-05,-0.00014925994195148,-0.00017427727594599,123.101737334589
1936,-1.67544551228066,1.43645349176558,0.181394868013665,-1.85157373987791,-2.8606122776442,0.80319347522285,"12_4",0.518245166666667,0.2082663,"ethanol",27.18,10.55,14.94,"Belgium","DUI",0.00185963906866331,-0.00046935938367137,0.00023802969993987,2.73815087888121e-05,-2.10066410091519e-05,123.792102320216
1936,-1.67544551228066,1.43645349176558,0.181394868013665,-1.85157373987791,-2.8606122776442,0.80319347522285,"12_5",0.747241033333333,0.174658833333333,"ethanol",26.45,11.51,15.82,"Belgium","DUI",0.00181602272375781,0.00075764665115827,-0.00024969673181111,-0.00019645450409924,0.0002911653553826,143.011737856347
1936,-1.67544551228066,1.43645349176558,0.181394868013665,-1.85157373987791,-2.8606122776442,0.80319347522285,"12_6",0.561040466666667,0.146823,"ethanol",27.53,11.04,16.31,"Belgium","DUI",0.00029713921000785,0.0002364023045095,-0.00027367744361941,0.00012956306943776,-0.00020053789633994,141.420678256937
1936,-1.67544551228066,1.43645349176558,0.181394868013665,-1.85157373987791,-2.8606122776442,0.80319347522285,"12_7",0.603202866666667,0.125422266666667,"ethanol",25.78,10.8,15.16,"Belgium","DUI",-0.00153168176184788,0.0004127761794955,-0.00019923636695751,0.00020965121800505,-0.00017499677872263,128.591670496737
1936,-1.67544551228066,1.43645349176558,0.181394868013665,-1.85157373987791,-2.8606122776442,0.80319347522285,"12_8",0.731428633333333,0.0641600666666667,"ethanol",26.81,11.07,15.69,"Belgium","DUI",-0.00057488584771207,-0.00019149299442182,0.00033635182877254,0.00032569300012388,-0.00010358731237793,136.414471823625
1936,-1.67544551228066,1.43645349176558,0.181394868013665,-1.85157373987791,-2.8606122776442,0.80319347522285,"12_9",0.6114006,0.099198,"ethanol",27.45,10.95,15.63,"Belgium","DUI",0.00128303072286374,-0.00057145716543356,-0.00017773518198764,0.00015496977645179,-0.00017909171452928,134.419717568228
1937,-1.25083252125872,1.1144605658199,0.652776733319578,-1.24549389193689,-2.65091158474178,0.68216780786858,"14_1",NA,NA,"ethanol",26.33,11.39,15.85,"Belgium","BLA",-0.00121127759960478,-9.72532851048579e-05,-5.3060804019699e-05,0.00028106161984783,-0.00038994545226237,141.789108535386
1937,-1.25083252125872,1.1144605658199,0.652776733319578,-1.24549389193689,-2.65091158474178,0.68216780786858,"14_10",NA,NA,"ethanol",28.87,12.47,16.87,"Belgium","BLA",-0.0023346940894407,0.00035474125066743,0.00056075748985183,0.00022648958726525,-0.00020153595660162,165.223347695941
1937,-1.25083252125872,1.1144605658199,0.652776733319578,-1.24549389193689,-2.65091158474178,0.68216780786858,"14_2",NA,NA,"ethanol",27.01,10.95,16.12,"Belgium","BLA",0.00036573831201496,-0.00054755638419482,7.39940959814875e-05,-0.00016465158273903,-8.92207102244562e-05,138.633771413937
1937,-1.25083252125872,1.1144605658199,0.652776733319578,-1.24549389193689,-2.65091158474178,0.68216780786858,"14_3",NA,NA,"ethanol",27.16,10.15,16.6,"Belgium","BLA",-0.00085823687236095,-0.00082371545998724,-0.00032268041113833,0.00059795629228228,-0.00044388596582774,132.331736550836
1937,-1.25083252125872,1.1144605658199,0.652776733319578,-1.24549389193689,-2.65091158474178,0.68216780786858,"14_4",NA,NA,"ethanol",26.87,11.69,14.93,"Belgium","BLA",-3.85049529825003e-05,-0.0009685269802796,0.00057849418238028,-0.00039816185787842,-0.00048764402235608,137.076876634634
1937,-1.25083252125872,1.1144605658199,0.652776733319578,-1.24549389193689,-2.65091158474178,0.68216780786858,"14_5",NA,NA,"ethanol",27.71,11.08,15.22,"Belgium","BLA",0.00070132642294783,-0.00064558410229445,-9.35798865000714e-05,0.00038203663431301,-0.00039008500516314,132.447661319754
1937,-1.25083252125872,1.1144605658199,0.652776733319578,-1.24549389193689,-2.65091158474178,0.68216780786858,"14_6",NA,NA,"ethanol",28.54,11.14,16.09,"Belgium","BLA",-0.00476326244618824,-0.00111433236384428,-0.00015373007676217,-0.00011808502429462,0.00010173065828538,140.776808842583
1937,-1.25083252125872,1.1144605658199,0.652776733319578,-1.24549389193689,-2.65091158474178,0.68216780786858,"14_7",NA,NA,"ethanol",26.8,11,15.03,"Belgium","BLA",0.00082773342456657,-0.00019182680550956,0.00021084904937081,0.00027303054771339,-0.00043706641780902,129.8498783545
1937,-1.25083252125872,1.1144605658199,0.652776733319578,-1.24549389193689,-2.65091158474178,0.68216780786858,"14_8",NA,NA,"ethanol",25.9,9.82,15.09,"Belgium","BLA",0.00014647104226647,0.00023241658616099,-0.00033298555006027,0.000482482920247,-0.00011427376348622,116.383284365255
1937,-1.25083252125872,1.1144605658199,0.652776733319578,-1.24549389193689,-2.65091158474178,0.68216780786858,"14_9",NA,NA,"ethanol",25.87,9.62,15.59,"Belgium","BLA",-0.00152155183773844,0.00062425116399185,0.00028889288629685,8.95208056187337e-05,-0.00026605542414525,117.790717874063
1938,-0.923514341905869,0.802888049568213,0.828698101148929,-0.815621995730543,-2.10990379057858,0.574874402218824,"16_1",0.575162333333333,0.204031366666667,"ethanol",26.78,12.15,15.47,"Belgium","ZEE",-0.00302185793748804,0.00074564222974105,-0.00070598224903791,-0.0002774596474231,-0.00079902676885349,147.623831491266
1938,-0.923514341905869,0.802888049568213,0.828698101148929,-0.815621995730543,-2.10990379057858,0.574874402218824,"16_10",0.78258347826087,0.246744173913043,"ethanol",28.55,12.09,16.62,"Belgium","ZEE",-6.08499335828688e-06,0.00021104283709359,4.36373082080863e-05,-0.00030609248870005,-0.00018396091700077,157.814608280797
1938,-0.923514341905869,0.802888049568213,0.828698101148929,-0.815621995730543,-2.10990379057858,0.574874402218824,"16_2",0.4425998,0.1965547,"ethanol",26.12,10.35,15.17,"Belgium","ZEE",-0.00102310337573343,0.00049151825123215,0.00080531633145476,0.00023447139345289,0.00031799080825695,123.314972935952
1938,-0.923514341905869,0.802888049568213,0.828698101148929,-0.815621995730543,-2.10990379057858,0.574874402218824,"16_3",0.678274,0.260591814814815,"ethanol",28.71,11.91,17.2,"Belgium","ZEE",-0.00174360927070773,-6.49185444375453e-05,0.00019075246392362,-0.00019402699066819,-0.0002712760734338,160.890384568294
1938,-0.923514341905869,0.802888049568213,0.828698101148929,-0.815621995730543,-2.10990379057858,0.574874402218824,"16_4",0.761121916666667,0.214051,"ethanol",28.96,12.44,16.51,"Belgium","ZEE",-0.00029753241522081,0.00065662481564433,0.00077079830337122,-0.00039853590308721,8.1056440499899e-05,161.308530550487
1938,-0.923514341905869,0.802888049568213,0.828698101148929,-0.815621995730543,-2.10990379057858,0.574874402218824,"16_5",0.648549866666667,0.144706133333333,"ethanol",27.41,12.52,16.64,"Belgium","ZEE",-0.00230613141615313,0.00197449957092907,1.94199602272805e-05,0.00027838219330603,-0.00023485859794283,163.624198495448
1938,-0.923514341905869,0.802888049568213,0.828698101148929,-0.815621995730543,-2.10990379057858,0.574874402218824,"16_6",0.604624233333333,0.168383933333333,"ethanol",28.42,10.93,16.47,"Belgium","ZEE",-0.00049500718367274,-0.00110997677478406,0.00032819262779446,-0.00013359628746124,-9.70188484524804e-05,141.385099720135
1938,-0.923514341905869,0.802888049568213,0.828698101148929,-0.815621995730543,-2.10990379057858,0.574874402218824,"16_7",1.01038839130435,0.125060130434783,"ethanol",27.61,12.45,17.46,"Belgium","ZEE",0.00137204983812171,0.00148416623584053,0.00045087884178874,0.00011879619728973,0.00028045630211685,170.727496564847
1938,-0.923514341905869,0.802888049568213,0.828698101148929,-0.815621995730543,-2.10990379057858,0.574874402218824,"16_8",0.5453051,0.1941351,"ethanol",28.62,11.57,16.13,"Belgium","ZEE",-0.00034273491665629,0.00093836089210192,0.00030370144264664,-1.17295778606226e-05,-0.00012266744415965,146.574225385702
1938,-0.923514341905869,0.802888049568213,0.828698101148929,-0.815621995730543,-2.10990379057858,0.574874402218824,"16_9",0.647059566666667,0.172319266666667,"ethanol",29.24,10.86,16.99,"Belgium","ZEE",0.00254708919213243,4.84667026471855e-05,-0.0006765076052026,0.00024056228025177,0.00028019203543369,144.914914685892
1945,-2.86132176778266,-5.21290983825159,-6.18824067033308,1.11850635610629,1.35629742056073,-2.21980603550624,"18_1",NA,NA,"ethanol",26.97,10.5,10.9,"Belgium","KNO",0.00288026958426812,0.00048113127044953,-0.00039615082924033,-0.0006036276767836,0.00038723504428842,89.888819800838
1945,-2.86132176778266,-5.21290983825159,-6.18824067033308,1.11850635610629,1.35629742056073,-2.21980603550624,"18_10",NA,NA,"ethanol",27.65,10.67,17.02,"Belgium","KNO",0.00313000971322555,-1.26253722883974e-05,0.00011527013980865,3.98370594837544e-05,0.00027826739890386,142.630976826732
1945,-2.86132176778266,-5.21290983825159,-6.18824067033308,1.11850635610629,1.35629742056073,-2.21980603550624,"18_2",0.794356333333333,0.127794233333333,"ethanol",27.1,10.75,15.2,"Belgium","KNO",0.00221308704671022,0.00017072331700188,-0.00022267789926973,-0.00012835156380932,-8.71251371725235e-05,128.334059899143
1945,-2.86132176778266,-5.21290983825159,-6.18824067033308,1.11850635610629,1.35629742056073,-2.21980603550624,"18_3",0.573220833333333,0.0864377333333333,"ethanol",26.26,10.45,15.02,"Belgium","KNO",0.00300114126693045,-0.00029188196922446,0.00011097475446677,-1.98840307236807e-05,0.00058414577250669,123.2753103287
1945,-2.86132176778266,-5.21290983825159,-6.18824067033308,1.11850635610629,1.35629742056073,-2.21980603550624,"18_4",0.511922733333333,0.177558033333333,"ethanol",27.5,10.32,15.64,"Belgium","KNO",0.00068838044088607,0.00024895509712089,0.00021309035363261,2.26620316887401e-06,-0.00052331809700651,126.767033483532
1945,-2.86132176778266,-5.21290983825159,-6.18824067033308,1.11850635610629,1.35629742056073,-2.21980603550624,"18_5",0.565878566666667,0.173089466666667,"ethanol",26.51,10.2,16.06,"Belgium","KNO",0.00175898456399963,6.89752491583363e-05,-0.00016772561009644,0.00029856904085142,-0.00011492197368731,128.657643942463
1945,-2.86132176778266,-5.21290983825159,-6.18824067033308,1.11850635610629,1.35629742056073,-2.21980603550624,"18_6",0.425374266666667,0.1978216,"ethanol",27.26,10.89,16.2,"Belgium","KNO",0.00272043755564605,-0.00054599585156509,-8.34745367191154e-05,3.56448269010838e-05,-2.82815259167892e-05,138.558373190251
1945,-2.86132176778266,-5.21290983825159,-6.18824067033308,1.11850635610629,1.35629742056073,-2.21980603550624,"18_7",0.774481571428571,0.131663071428571,"ethanol",25.63,10.86,14.32,"Belgium","KNO",-0.00065919002977367,0.00061181996887406,-0.00011858005714574,0.00018763871944307,1.91580444882141e-05,122.141352460387
1945,-2.86132176778266,-5.21290983825159,-6.18824067033308,1.11850635610629,1.35629742056073,-2.21980603550624,"18_8",0.6564674,0.1309221,"ethanol",28.94,11.38,16.66,"Belgium","KNO",0.00139202042113509,-0.00132093619711508,0.00102646945658451,-0.00040672839174905,-0.00012673799751443,148.904266117053
