sample,position,aragonite_thickness_um,calcite_thickness_um,date
8_3,2,64.541,904.264,27.07.1929
8_3,2,64.089,947.452,27.07.1929
8_3,2,59.773,1027.868,27.07.1929
8_3,2,71.197,1062.303,27.07.1929
8_3,2,69.986,972.035,27.07.1929
8_3,2,50.856,951.724,27.07.1929
8_3,2,43.321,1019.014,27.07.1929
8_3,2,35.61,1069.913,27.07.1929
8_3,2,37.601,1096.411,27.07.1929
8_3,2,33.788,1090.785,27.07.1929
8_4,2,469.586,929.658,27.07.1929
8_4,2,472.95,977.634,27.07.1929
8_4,2,475.428,933.771,27.07.1929
8_4,2,481.884,885.63,27.07.1929
8_4,2,477.949,929.006,27.07.1929
8_4,2,475.229,906.815,27.07.1929
8_4,2,490.527,872.233,27.07.1929
8_4,2,481.156,829.423,27.07.1929
8_4,2,407.142,876.482,27.07.1929
8_4,2,392.701,942.197,27.07.1929
8_5,2,79.081,891.712,27.07.1929
8_5,2,81.495,857.842,27.07.1929
8_5,2,82.489,824.64,27.07.1929
8_5,2,82.263,747.838,27.07.1929
8_5,2,101.166,722.526,27.07.1929
8_5,2,87.971,679.911,27.07.1929
8_5,2,106.877,618.289,27.07.1929
8_5,2,120.574,669.117,27.07.1929
8_5,2,101.163,621.505,27.07.1929
8_5,2,108.609,639.451,27.07.1929
9_1,2,132.463,507.429,05.08.1929
9_1,2,130.224,470.17,05.08.1929
9_1,2,132.422,448.083,05.08.1929
9_1,2,127.631,432.872,05.08.1929
9_1,2,120.342,493.599,05.08.1929
9_1,2,115.379,590.074,05.08.1929
9_1,2,108.47,634.495,05.08.1929
9_1,2,105.196,654.794,05.08.1929
9_1,2,87.454,510.681,05.08.1929
9_1,2,83.493,506.274,05.08.1929
9_2,2,79.35,510.484,05.08.1929
9_2,2,72.225,543.44,05.08.1929
9_2,2,69.075,637.415,05.08.1929
9_2,2,72.998,677.481,05.08.1929
9_2,2,76.841,737.059,05.08.1929
9_2,2,79.109,718.435,05.08.1929
9_2,2,83.595,816.509,05.08.1929
9_2,2,81.795,820.004,05.08.1929
9_2,2,79.088,798.406,05.08.1929
9_2,2,76.642,811.975,05.08.1929
10_1,2,173.575,1013.077,10.08.1932
10_1,2,164.678,1068.49,10.08.1932
10_1,2,143.84,1080.409,10.08.1932
10_1,2,143.698,1095.79,10.08.1932
10_1,2,138.629,1085.949,10.08.1932
10_1,2,137.581,1067.506,10.08.1932
10_1,2,135.025,997.133,10.08.1932
10_1,2,145.625,1071.52,10.08.1932
10_1,2,142.167,1072.738,10.08.1932
10_1,2,157.434,1035.352,10.08.1932
10_2,2,139.897,610.064,10.08.1932
10_2,2,131.986,602.087,10.08.1932
10_2,2,131.817,657.994,10.08.1932
10_2,2,108.268,742.687,10.08.1932
10_2,2,89.793,820.011,10.08.1932
10_2,2,95.678,795.31,10.08.1932
10_2,2,83.821,798.104,10.08.1932
10_2,2,74.367,861.807,10.08.1932
10_2,2,70.969,852.948,10.08.1932
10_2,2,67.14,857.523,10.08.1932
10_3,2,61.946,883.541,10.08.1932
10_3,2,65.042,937.672,10.08.1932
10_3,2,67.158,866.635,10.08.1932
10_3,2,58.868,825.325,10.08.1932
10_3,2,76.706,797.855,10.08.1932
10_3,2,76.399,776.059,10.08.1932
10_3,2,83.588,749.862,10.08.1932
10_3,2,91.145,796.725,10.08.1932
10_3,2,95.561,793.255,10.08.1932
10_3,2,90.907,801.523,10.08.1932
10_4,2,139.03,426.425,10.08.1932
10_4,2,151.161,544.067,10.08.1932
10_4,2,138.664,625.319,10.08.1932
10_4,2,138.097,612.026,10.08.1932
10_4,2,115.799,589.548,10.08.1932
10_4,2,117.68,556.4,10.08.1932
10_4,2,131.403,490.152,10.08.1932
10_4,2,117.314,431.235,10.08.1932
10_4,2,126.435,462.181,10.08.1932
10_4,2,134.259,538.958,10.08.1932
10_5,2,53.587,1024.146,10.08.1932
10_5,2,62.131,1047.069,10.08.1932
10_5,2,47.294,1158.834,10.08.1932
10_5,2,49.319,1161.026,10.08.1932
10_5,2,46.691,1179.84,10.08.1932
10_5,2,47.723,1180.797,10.08.1932
10_5,2,52.853,1190.761,10.08.1932
10_5,2,63.281,1199.47,10.08.1932
10_5,2,65.577,1207.842,10.08.1932
10_5,2,75.092,1132.467,10.08.1932
10_6,2,149.936,690.393,10.08.1932
10_6,2,160.608,657.947,10.08.1932
10_6,2,174.239,619.629,10.08.1932
10_6,2,172.536,629.392,10.08.1932
10_6,2,152.282,639.324,10.08.1932
10_6,2,144.791,623.303,10.08.1932
10_6,2,132.365,596.952,10.08.1932
10_6,2,135.949,661.587,10.08.1932
10_6,2,124.135,737.5,10.08.1932
10_6,2,120.332,876.348,10.08.1932
10_7,2,126.293,707.72,10.08.1932
10_7,2,98.82,757.062,10.08.1932
10_7,2,93.797,797.364,10.08.1932
10_7,2,96.063,767.174,10.08.1932
10_7,2,87.693,755.049,10.08.1932
10_7,2,94.332,718.851,10.08.1932
10_7,2,96.012,724.768,10.08.1932
10_7,2,89.951,692.4,10.08.1932
10_7,2,95.06,745.573,10.08.1932
10_7,2,89.024,822.037,10.08.1932
12_1,2,156.643,350.154,13.07.1936
12_1,2,148.575,401.897,13.07.1936
12_1,2,146.363,430.954,13.07.1936
12_1,2,138.593,534.95,13.07.1936
12_1,2,128.795,478.726,13.07.1936
12_1,2,123.358,466.886,13.07.1936
12_1,2,131.856,414.719,13.07.1936
12_1,2,107.528,427.895,13.07.1936
12_1,2,119.008,417.019,13.07.1936
12_1,2,125.316,464.375,13.07.1936
12_2,2,74.532,484.788,13.07.1936
12_2,2,63.239,686.403,13.07.1936
12_2,2,66.495,688.221,13.07.1936
12_2,2,69.826,680.87,13.07.1936
12_2,2,58.748,724.796,13.07.1936
12_2,2,48.434,758.409,13.07.1936
12_2,2,53.677,800.511,13.07.1936
12_2,2,36.759,836.006,13.07.1936
