"wind_speed","year","month"
5.41,1931,8
4.68,1931,9
5.65,1931,10
5.5,1931,11
5.61,1931,12
5.47,1932,1
5.73,1932,2
4.63,1932,3
5.96,1932,4
3.64,1932,5
3.77,1932,6
4.32,1932,7
3.21,1932,8
6.28,1932,9
7.88,1932,10
6.76,1932,11
5.4,1932,12
5.3,1933,1
5.88,1933,2
4.47,1933,3
3.41,1933,4
3.62,1933,5
4.37,1933,6
4.38,1933,7
4.6,1933,8
4.74,1933,9
6.98,1933,10
5.92,1933,11
5.49,1933,12
6.51,1934,1
4.33,1934,2
4.91,1934,3
4,1934,4
4.05,1934,5
4,1934,6
3.84,1934,7
4.59,1934,8
4.8,1934,9
8.05,1934,10
4.86,1934,11
5.87,1934,12
6.08,1935,1
8.21,1935,2
4.59,1935,3
6.53,1935,4
5.35,1935,5
4.14,1935,6
4.41,1935,7
3.11,1935,8
7.3,1935,9
8.72,1935,10
7.68,1935,11
7.61,1935,12
6.71,1936,1
4.46,1936,2
3.76,1936,3
5.36,1936,4
4.31,1936,5
3.21,1936,6
5.62,1936,7
3.62,1936,8
4.71,1936,9
7.35,1936,10
7.51,1936,11
8.03,1936,12
7.77,1937,1
9.16,1937,2
5.43,1937,3
5.04,1937,4
3.11,1937,5
3.82,1937,6
4.17,1937,7
3.89,1937,8
5.02,1937,9
5.63,1937,10
6.02,1937,11
5.97,1937,12
8.18,1938,1
7.75,1938,2
4.08,1938,3
5.66,1938,4
4.94,1938,5
5.28,1938,6
4.1,1938,7
4.9,1938,8
4,1938,9
8.04,1938,10
6.56,1938,11
8,1938,12
7.25,1939,1
5.93,1939,2
6.72,1939,3
4.92,1939,4
3.71,1939,5
4.69,1939,6
4.43,1939,7
3.17,1939,8
1.55,1939,9
2.6,1939,10
5.4,1939,11
4.34,1939,12
4.22,1941,10
10,1942,2
2.6,1942,5
12.3,1942,12
4.6,1943,7
6.7,1944,7
1,1945,6
18,1945,7
6.95,1946,5
1.63,1946,6
7.2,1946,7
9.8,1946,8
6.7,1946,9
6.49,1946,10
8.6,1946,11
9.2,1946,12
3.9,1947,9
5.5,1947,10
19,1947,11
11.68,1947,12
2.7,1948,7
9.65,1948,9
6.7,1948,10
3.45,1948,11
11.8,1948,12
13.35,1949,1
8,1949,2
3.6,1949,3
7.06,1949,4
6.33,1949,5
5.88,1949,6
2.8,1949,7
3.73,1949,8
4.25,1949,9
11.72,1949,10
8.51,1949,11
10.61,1949,12
7.46,1950,1
2.6,1950,2
6.87,1950,3
6.95,1950,4
4.41,1950,5
6.83,1950,6
7.48,1950,7
3.49,1950,8
10.48,1950,9
6.56,1950,10
8.46,1950,11
6.61,1950,12
7.48,1951,1
7.1,1951,2
9.02,1951,3
5.69,1951,4
5.65,1951,5
5.72,1951,6
4.19,1951,7
5.89,1951,8
5.27,1951,9
6.08,1951,10
9.6,1951,11
9.31,1951,12
10.81,1952,1
5.9,1952,2
6.82,1952,3
4.79,1952,4
7.15,1952,5
5.87,1952,6
5.42,1952,7
4.66,1952,8
11.67,1952,9
10.71,1952,10
8.75,1952,11
7.04,1952,12
5.74,1953,1
7.2,1953,2
3.63,1953,3
5.85,1953,4
6.98,1953,5
5.84,1953,6
6.47,1953,7
5.87,1953,8
8.57,1953,9
4.96,1953,10
8.48,1953,11
8.07,1953,12
13.19,1954,1
6.55,1954,2
6.04,1954,3
6.16,1954,4
5.54,1954,5
5.73,1954,6
6.6,1954,7
5.97,1954,8
8.31,1954,9
10.76,1954,10
8.98,1954,11
12.06,1954,12
9.46,1955,1
8.92,1955,2
9.44,1955,3
5.58,1955,4
8.02,1955,5
4.38,1955,6
5.73,1955,7
4.92,1955,8
5.63,1955,9
8.27,1955,10
7.43,1955,11
8.92,1955,12
10.57,1956,1
5.7,1956,2
5.97,1956,3
5.83,1956,4
6.11,1956,5
5.62,1956,6
6.03,1956,7
7.47,1956,8
4.72,1956,9
8.2,1956,10
8.65,1956,11
8.16,1956,12
11.63,1957,1
6.83,1957,2
5.15,1957,3
5.29,1957,4
8.64,1957,5
5.47,1957,6
5.61,1957,7
7.94,1957,8
9.94,1957,9
7.22,1957,10
8.32,1957,11
8.48,1957,12
9.19,1958,1
8.24,1958,2
6.25,1958,3
8.45,1958,4
6.6,1958,5
4.55,1958,6
6.26,1958,7
4.8,1958,8
7.26,1958,9
6.33,1958,10
5.51,1958,11
8.81,1958,12
10.29,1959,1
4.44,1959,2
5.06,1959,3
7.36,1959,4
6.34,1959,5
5.44,1959,6
6.61,1959,7
5.2,1959,8
5.2,1959,9
10.45,1959,10
7.56,1959,11
11.59,1959,12
9.3,1960,1
6.81,1960,2
